,State_Code,State_Name,Crash_ID,Count_Non_Motorists,Count_Vehicles_Total,Count_Vehicle_Forms,Count_PVH_Involved,Count_Occupants_MV,City_Name,Month_Name,Day_of_Month,Day_of_Week,Crash_Hour,Crash_Minute,Area_Rural_Urban,Road_Functional_Class,On_NHS_Road,Latitude,Longitude,Intersection_Type,Light_Condition,Weather_Condition,Notif_Hour,Notif_Minute,Arrival_Hour,Arrival_Minute,Hospital_Hour,Hospital_Minute,Fatalities_Count,Clean_Light_Condition,Clean_Weather_Condition,Total_Killed,Total_Alive,Fatal_Seats_List,Killed_Restraint_List,Any_Driver_Drinking,Total_Drinking_Drivers,Driver_License_Category,Driver_Max_Prev_Accident_Count,Driver_Max_Prev_Speeding_Count,Max_Driver_Age,Min_Driver_Age,Driver_Sex_List,Total_Exceeding_Limit_Vehicles,Total_Too_Fast_Vehicles,Max_Vehicle_Type_Severity_5,Max_Vehicle_Damage_Rank,Max_Harmful_Event_Severity,Crash_Road_Surface_Condition,Crash_Horizontal_Alignment,Crash_Vertical_Profile,Crash_Impairment_Category,Crash_Vehicle_Defect
37620,56,Wyoming,560088,0,1,1,0,1,NOT APPLICABLE,September,20,Wednesday,18,32,Rural,Medium Speed (Collector),No,44.42526944,-104.60485278,Non-Intersection,Dusk,Clear,6:00pm-6:59pm,36,6:00pm-6:59pm,49,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Twilight,Clear,1,0,['Driver'],['Shoulder_Lapbelt'],0,0,Valid,0.0,0.0,41.0,41.0,['Male'],1,0,3,4,3,Dry,Curve,Grade/Hillcrest,Medium,No
37621,56,Wyoming,560089,0,1,1,0,1,NOT APPLICABLE,September,21,Thursday,8,50,Rural,Low Speed (Local),No,44.68906944,-104.62812222,Non-Intersection,Daylight,Clear,8:00am-8:59am,55,9:00am-9:59am,0,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Daylight,Clear,1,0,['Driver'],['None_Used'],0,0,Valid,0.0,1.0,29.0,29.0,['Male'],0,0,1,4,3,Dry,Straight,Level,Lowest,No
37622,56,Wyoming,560090,0,2,1,1,3,NOT APPLICABLE,September,23,Saturday,15,35,Rural,High Speed (Arterial),Yes,41.42668889,-105.87775833,Non-Intersection,Daylight,Clear,3:00pm-3:59pm,41,3:00pm-3:59pm,58,4:00pm-4:59pm,37,2,Daylight,Clear,2,1,"['Front_Passenger', 'Rear_Seat']","['Shoulder_Lapbelt', 'None_Used']",0,0,Valid,0.0,1.0,63.0,63.0,['Male'],0,0,3,4,5,Dry,Straight,Level,Lowest,No
37623,56,Wyoming,560091,0,1,1,0,1,CHEYENNE,September,26,Tuesday,16,20,Urban,Medium Speed (Collector),No,41.05728611,-104.89188889,Non-Intersection,Daylight,Clear,4:00pm-4:59pm,23,4:00pm-4:59pm,31,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Daylight,Clear,1,0,['Driver'],['None_Used'],0,0,Valid,0.0,1.0,39.0,39.0,['Male'],1,0,5,4,2,Dry,Curve,Level,Lowest,No
37624,56,Wyoming,560092,0,1,1,0,1,LARAMIE,October,6,Friday,22,7,Rural,Medium Speed (Collector),No,41.31146944,-105.61203333,Non-Intersection,Dark - Not Lighted,Clear,10:00pm-10:59pm,8,10:00pm-10:59pm,13,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Dark - Unlighted,Clear,1,0,['Driver'],['None_Used'],0,0,Invalid,0.0,0.0,48.0,48.0,['Male'],1,0,5,4,2,Dry,Curve,Level,Lowest,No
37625,56,Wyoming,560093,0,2,2,0,2,NOT APPLICABLE,October,13,Friday,13,11,Rural,High Speed (Arterial),Yes,42.49088333,-107.80681944,Non-Intersection,Daylight,Cloudy,Unknown,Unknown,Unknown EMS Scene Arrival Hour,Unknown EMS Scene Arrival Minutes,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Daylight,Reduced Visibility,1,1,['Driver'],['None_Used'],0,0,Valid,0.0,0.0,39.0,22.0,"['Male', 'Male']",1,0,3,4,5,Dry,Straight,Level,Lowest,No
37626,56,Wyoming,560094,0,1,1,0,1,NOT APPLICABLE,October,14,Saturday,16,7,Rural,High Speed (Arterial),Yes,41.39243611,-110.185,Non-Intersection,Daylight,Clear,4:00pm-4:59pm,8,4:00pm-4:59pm,25,5:00pm-5:59pm,42,1,Daylight,Clear,1,0,['Driver'],['Shoulder_Lapbelt'],0,0,Valid,0.0,0.0,74.0,74.0,['Male'],0,0,4,4,2,Dry,Straight,Level,Lowest,No
37627,56,Wyoming,560095,0,1,1,0,2,NOT APPLICABLE,October,16,Monday,2,55,Rural,High Speed (Arterial),Yes,44.51844167,-106.80073056,Non-Intersection,Dark - Lighted,Clear,Unknown,Unknown if Notified,Unknown EMS Scene Arrival Hour,Unknown if Arrived,Not Applicable (Not Transported),Not Applicable (Not Transported),2,Dark - Lighted,Clear,2,0,"['Driver', 'Front_Passenger']","['Shoulder_Lapbelt', 'Shoulder_Lapbelt']",0,0,Valid,1.0,0.0,55.0,55.0,['Female'],0,0,3,4,3,Dry,Curve,Grade/Hillcrest,Medium,No
37628,56,Wyoming,560096,0,1,1,0,1,NOT APPLICABLE,October,20,Friday,1,55,Rural,High Speed (Arterial),Yes,44.45833056,-106.77813889,Non-Intersection,Dark - Not Lighted,Clear,2:00am-2:59am,7,2:00am-2:59am,17,Not Applicable (Not Transported),Not Applicable (Not Transported),1,Dark - Unlighted,Clear,1,0,['Driver'],['None_Used'],1,1,Invalid,0.0,1.0,43.0,43.0,['Male'],0,0,3,4,3,Dry,Straight,Level,Medium,No
37629,56,Wyoming,560097,0,1,1,0,1,NOT APPLICABLE,October,21,Saturday,7,57,Rural,High Speed (Arterial),Yes,42.76038889,-105.41915,Non-Intersection,Daylight,Clear,7:00am-7:59am,40,8:00am-8:59am,30,Unknown,Unknown EMS Hospital Arrival Time,1,Daylight,Clear,1,0,['Driver'],['None_Used'],0,0,Valid,0.0,0.0,77.0,77.0,['Male'],0,0,3,4,3,Dry,Curve,Level,Lowest,No
